versao,bloco,p,r,eligible,d1,Delta,J,zeros_rel_sup,razao_Zp_Z,polos_rel_sup,arq_rel_sup,B2_rel_sup,theta_rel,orcamento2,orcamento_anterior
m4-v1,b01,131,1,False,1,1,6,8.1227095029e-05,0.08744687773787459,1.672487e-09,1.601187e-09,8.12303687e-05,3.394423346791353e-11,8.123040264423346e-05,0.0009288768969442335
m4-v1,b01,137,1,False,1,1,6,0.000100112995754,0.0874468777378746,2.061352e-09,1.973474e-09,0.000100117030578,8.17089620599125e-11,0.00010011711228696207,0.001144847688708962
m4-v1,b01,139,1,False,1,1,6,0.000102181960857,0.0874468777378746,2.103953e-09,2.014258e-09,0.000102186079065,3.671573432123683e-11,0.00010218611578073432,0.0011685074067157345
m4-v1,b01,2,1,True,1,2,5,5.855406208e-05,0.09781276473451184,1.302522e-09,1.275104e-09,5.8556639703e-05,6.031719903324803e-13,5.8556640306171996e-05,0.0005986367376031721
m4-v1,b01,3,1,True,1,2,5,4.6779687546e-05,0.09781276473451184,1.040604e-09,1.0187e-09,4.6781746846e-05,1.5795934133751786e-12,4.678174842559341e-05,0.0004782595545795934
m4-v1,b01,2,2,False,1,2,5,8.5837851215e-05,0.09781276473451184,1.909442e-09,1.86925e-09,8.5841629905e-05,1.0863739560886602e-11,8.584164076873955e-05,0.0008775768918637396
m4-v1,b01,5,1,True,1,2,5,4.8946701144e-05,0.09781276473451184,1.088808e-09,1.06589e-09,4.8948855839e-05,2.9492620531086856e-13,4.89488561339262e-05,0.0005004143602949262
m4-v1,b01,7,1,True,1,2,5,4.1777230119e-05,0.09781276473451184,9.29325e-10,9.09764e-10,4.1779069205e-05,2.7347147371569104e-12,4.177907193971474e-05,0.00042711613873471475
m4-v1,b01,2,3,False,1,2,5,0.000125478416244,0.09781276473451182,2.791237e-09,2.732483e-09,0.000125483939961,6.956142841880142e-12,0.00012548394691714283,0.001282848487956143
m4-v1,b01,3,2,False,1,2,5,8.6183155975e-05,0.09781276473451182,1.917124e-09,1.87677e-09,8.6186949865e-05,1.3556633597813335e-11,8.61869634216336e-05,0.0008811071725566336
m4-v1,b01,11,1,True,1,2,5,3.9183357362e-05,0.09781276473451182,8.71625e-10,8.53278e-10,3.9185082263e-05,4.6182392244693974e-12,3.918508688123922e-05,0.0004005972716182392
m4-v1,b01,13,1,True,1,2,5,5.4580223894e-05,0.09781276473451184,1.214125e-09,1.188568e-09,5.4582626583e-05,1.8665098282083636e-12,5.4582628449509826e-05,0.0005580095748665099
m4-v1,b01,2,4,False,1,2,5,0.000182940785368,0.09781276473451182,4.069472e-09,3.983813e-09,0.00018294883865,3.4262793485231576e-11,0.00018294887291279348,0.0018703241552627935
m4-v1,b01,17,1,True,1,2,5,5.1617741131e-05,0.09781276473451182,1.148225e-09,1.124056e-09,5.1620013408e-05,1.0720504264323763e-11,5.1620024128504266e-05,0.0005277221717205042
m4-v1,b01,19,1,True,1,2,5,5.7635542052e-05,0.09781276473451182,1.282089e-09,1.255102e-09,5.7638079241e-05,9.733173796049046e-12,5.763808897417379e-05,0.0005892461117331738
m4-v1,b01,23,1,True,1,2,5,5.2770751766e-05,0.09781276473451184,1.173873e-09,1.149164e-09,5.27730748e-05,8.963176666924748e-12,5.277308376317666e-05,0.0005395101569631767
m4-v1,b01,5,2,False,1,2,5,0.000120602763705,0.09781276473451182,2.682779e-09,2.626308e-09,0.000120608072789,2.5578368779461922e-11,0.00012060809836736878,0.0012330015005783687
m4-v1,b01,3,3,False,1,2,5,0.000157300459004,0.09781276473451184,3.49911e-09,3.425456e-09,0.000157307383567,2.4270159169071283e-11,0.00015730740783715918,0.0016081862042701593
m4-v1,b01,29,1,True,1,2,5,5.3174883609e-05,0.09781276473451182,1.182863e-09,1.157965e-09,5.3177224434e-05,4.8063330624448826e-12,5.317722924033306e-05,0.0005436418588063331
m4-v1,b01,31,1,True,1,2,5,5.8600029521e-05,0.09781276473451182,1.303544e-09,1.276105e-09,5.8602609168e-05,1.7464238749415952e-11,5.8602626632238746e-05,0.0005991067104642387
m4-v1,b01,2,5,False,1,2,5,0.000266078592238,0.09781276473451184,5.918851e-09,5.794264e-09,0.00026609030535,5.352756994538099e-11,0.00026609035887756994,0.00272029672252757
m4-v1,b01,37,1,True,1,2,5,6.3389460524e-05,0.09781276473451182,1.410084e-09,1.380403e-09,6.3392251007e-05,1.996292677908835e-11,6.339227096992677e-05,0.0006480722199629269
m4-v1,b01,41,1,True,1,2,5,6.1330238176e-05,0.09781276473451184,1.364277e-09,1.33556e-09,6.1332938009e-05,1.9607236601925455e-11,6.13329576162366e-05,0.0006270194336072366
m4-v1,b01,43,1,True,1,2,5,5.1678874893e-05,0.09781276473451182,1.149585e-09,1.125387e-09,5.1681149861e-05,2.087902930664746e-11,5.168117074002931e-05,0.0005283471918790294
