versao,bloco,p,r,eligible,d1,Delta,L2_sobre_L0,zeros_rel_sup,orcamento_rel,P0_rel,fr_P0,P1a_rel,fr_P1a,P1b_rel,fr_P1b,P2_rel,fr_P2,P3_rel,fr_P3,fr_proximos,fr_distantes,fr_L0,fr_L2
m4-v1,b01,2,3,False,1,1,81.7035655,0.001585157154,0.0015851627461560506,5.359865e-06,0.00338128302685142,0.000979165111,0.6177085374929008,0.000600610151,0.3788962799120814,8e-12,5.0468181968783465e-09,2.2025e-08,1.3894521348280698e-05,0.6210898205197521,0.37891017948024786,0.00338128302685142,0.9966187169731486
m4-v1,b01,3,2,False,1,1,81.7035655,0.001088743789,0.001088747636523215,3.681351e-06,0.003381283105269041,0.000672526336,0.6177085362860782,0.000412520974,0.3788962801849998,6e-12,5.5109384113642646e-09,1.5128e-08,1.3894912714519766e-05,0.6210898193913472,0.3789101806086528,0.003381283105269041,0.9966187168947309
m4-v1,b01,11,1,True,1,1,81.7035655,0.000494999708,0.0004950014532883374,1.673735e-06,0.003381284781914036,0.000305765547,0.6177085326558391,0.000187553549,0.37889627750370786,4e-12,8.080812749722114e-09,6.879e-09,1.3896977726334608e-05,0.6210898174377532,0.37891018256224684,0.003381284781914036,0.996618715218086
m4-v1,b01,13,1,True,1,1,81.7035655,0.000689506889,0.0006895093206361476,2.331419e-06,0.0033812845337826535,0.000425914294,0.6177085350248745,0.000261251597,0.37889627920254515,4e-12,5.801247281218268e-09,9.581e-09,1.3895437550338057e-05,0.6210898195586573,0.3789101804413427,0.0033812845337826535,0.9966187154662174
m4-v1,b01,2,4,False,1,1,81.7035655,0.002311073914,0.00231108208200859,7.814394e-06,0.003381282587179765,0.001427570092,0.6177085381231374,0.000875657312,0.37889628055639873,1.1e-11,4.7596919811027474e-09,3.211e-08,1.3893973592109929e-05,0.6210898207103172,0.37891017928968285,0.003381282587179765,0.9966187174128203
m4-v1,b01,17,1,True,1,1,81.7035655,0.00065208212,0.0006520844244799105,2.204875e-06,0.0033812842157246916,0.000402796695,0.6177085353816307,0.000247071491,0.3788962787794616,4e-12,6.134196660989293e-09,9.061e-09,1.3895488986305996e-05,0.6210898195973554,0.37891018040264457,0.0033812842157246916,0.9966187157842753
m4-v1,b01,19,1,True,1,1,81.7035655,0.000728104439,0.000728107009154247,2.461928e-06,0.0033812841279677727,0.00044975633,0.6177085357825395,0.000275876065,0.3788962796112257,4e-12,5.493717327180604e-09,1.0117e-08,1.3894984549771545e-05,0.6210898199105073,0.37891018008949273,0.0033812841279677727,0.9966187158720322
m4-v1,b01,23,1,True,1,1,81.7035655,0.000666647996,0.0006666503505275588,2.254126e-06,0.0033812836657987912,0.000411794161,0.617708535485868,0.000252590448,0.37889627995915004,4e-12,6.0001679867031235e-09,9.263e-09,1.3894889015207758e-05,0.6210898191516668,0.37891018084833317,0.0033812836657987912,0.9966187163342012
m4-v1,b01,5,2,False,1,1,81.7035655,0.001523563489,0.0015235688728006801,5.151599e-06,0.0033812827735151267,0.000941118178,0.6177085373130445,0.000577272541,0.37889628026300276,8e-12,5.250847783012811e-09,2.1169e-08,1.3894399589824775e-05,0.6210898200865597,0.37891017991344034,0.0033812827735151267,0.9966187172264849
m4-v1,b01,3,3,False,1,1,81.7035655,0.001987162058,0.0019871690697886497,6.719157e-06,0.003381282844688362,0.001227486973,0.6177085375268575,0.000752928315,0.37889628040982154,1e-11,5.032302184170368e-09,2.761e-08,1.3894186330494389e-05,0.6210898203715459,0.3789101796284541,0.003381282844688362,0.9966187171553116
m4-v1,b01,29,1,True,1,1,81.7035655,0.000671753356,0.00067175573510623,2.271389e-06,0.003381284161524277,0.000414947785,0.6177085357374194,0.000254524849,0.37889627916576957,4e-12,5.95456641116828e-09,9.334e-09,1.3894980720461182e-05,0.6210898198989435,0.3789101801010565,0.003381284161524277,0.9966187158384757
m4-v1,b01,31,1,True,1,1,81.7035655,0.00074028872,0.0007402913391021573,2.503127e-06,0.0033812847726911286,0.000457282664,0.6177085336056994,0.000280492644,0.37889627893793393,5e-12,6.754121490222287e-09,1.0287e-08,1.3895929553983333e-05,0.6210898183783906,0.3789101816216094,0.0033812847726911286,0.9966187152273088
m4-v1,b01,2,5,False,1,1,81.7035655,0.003361346089,0.0033613579511655545,1.1365661e-05,0.0033812825800726472,0.002076332184,0.6177085383950299,0.001273601534,0.37889628072384013,1.5e-11,4.462497931364459e-09,4.6702e-08,1.3893838559372196e-05,0.6210898209751026,0.37891017902489743,0.0033812825800726472,0.9966187174199274
m4-v1,b01,37,1,True,1,1,81.7035655,0.000800793156,0.0008007959970932558,2.707709e-06,0.0033812838676562026,0.000494656771,0.617708535078625,0.00030341755,0.37889627983611585,5e-12,6.243809559402806e-09,1.1127e-08,1.3894973793495004e-05,0.6210898189462811,0.3789101810537189,0.0033812838676562026,0.9966187161323438
m4-v1,b01,41,1,True,1,1,81.7035655,0.000774779191,0.0007747819445149208,2.619749e-06,0.0033812846379491983,0.000478587723,0.6177085345546409,0.000293560955,0.378896278782126,5e-12,6.4534515290380835e-09,1.0766e-08,1.3895571832324803e-05,0.6210898191925902,0.3789101808074098,0.0033812846379491983,0.9966187153620508
m4-v1,b01,43,1,True,1,1,81.7035655,0.000652854417,0.0006528567342837875,2.207486e-06,0.0033812836709540073,0.000403273749,0.6177085346942652,0.000247364112,0.3788962796074984,4e-12,6.126940186173787e-09,9.072e-09,1.389590034224215e-05,0.6210898183652193,0.37891018163478074,0.0033812836709540073,0.996618716329046
m4-v1,b01,47,1,True,1,1,81.7035655,0.000850305408,0.0008503084227031126,2.875124e-06,0.003381283892425034,0.000525240912,0.617708535488638,0.000322177558,0.3788962797313202,5e-12,5.880240108644069e-09,1.1815e-08,1.3895007376725936e-05,0.621089819381063,0.378910180618937,0.003381283892425034,0.996618716107575
m4-v1,b01,7,2,False,1,1,81.7035655,0.001518100725,0.0015181060809617102,5.133128e-06,0.0033812828721969702,0.000937743782,0.617708537286779,0.00057520272,0.3788962802363607,8e-12,5.269742538579938e-09,2.1093e-08,1.389433492078333e-05,0.621089820158976,0.37891017984102404,0.0033812828721969702,0.996618717127803
