versao,bloco,p,r,T,c,resolved,clearly_detectable,eligible,margin,e_rec,escala_suficiente_F,tau,e_lin_U5.5,d_U5.5,e_lin_U6.0,d_U6.0,e_lin_U7.0,d_U7.0,e_lin_U8.0,d_U8.0,e_lin_U10.0,d_U10.0
m4-v1,b08,5,3,np.float64(4.828313737302301),np.float64(-0.04582150488104508),True,False,False,0.22470657683764247,2.855294713999257e-07,np.float64(1.5304590316463122e-05),1e-06,2.8243497017271605e-07,3.094501227209632e-09,2.851662645440557e-07,3.632068558699568e-10,2.854404079590643e-07,8.906344086136439e-11,2.8530058874700324e-07,2.2888265292244705e-10,2.8531680943305765e-07,2.1266196686803638e-10
m4-v1,b08,127,1,np.float64(4.844187086458591),np.float64(-0.13682617124428062),True,False,False,0.6769927713301067,-4.654582985708089e-08,np.float64(5.329590690306975e-05),1e-06,-4.8078736459838204e-08,1.5329066027573152e-09,-4.658989198682275e-08,4.406212974185981e-11,-4.6226754268843594e-08,-3.1907558823729517e-10,-4.6164406176174594e-08,-3.8142368090629544e-10,-4.616445765068259e-08,-3.813722063982997e-10
m4-v1,b08,2,7,np.float64(4.852030263919617),np.float64(-0.01950161612988795),True,False,False,0.09569610397318322,-5.26528646682678e-07,np.float64(7.395439727726024e-06),1e-06,-5.269033356783635e-07,3.7468899568554356e-10,-5.201934163694706e-07,-6.335230313207317e-09,-5.165418292354486e-07,-9.986817447229313e-09,-5.162000808030925e-07,-1.0328565879585479e-08,-5.162294207697286e-07,-1.0299225912949343e-08
m4-v1,b08,131,1,np.float64(4.875197323201151),np.float64(-0.1355834491603077),True,False,False,0.6604246332768742,-6.141732866726812e-08,np.float64(4.4512969819926254e-05),1e-06,-6.056393158419919e-08,-8.5339708306893e-10,-6.012451060769984e-08,-1.2928180595682789e-09,-6.024552008442409e-08,-1.17180858284403e-09,-6.015149758425786e-08,-1.265831083010263e-09,-6.015342095898051e-08,-1.2639077082876112e-09
m4-v1,b08,137,1,np.float64(4.919980925828125),np.float64(-0.13379912176069506),True,False,False,0.6528343854260251,-3.585085365243046e-07,np.float64(4.787343191778212e-05),1e-06,-3.5759653707809115e-07,-9.119994462134343e-10,-3.582883707102744e-07,-2.2016581403016232e-10,-3.584370905927438e-07,-7.144593156077449e-11,-3.5834917873355717e-07,-1.5935779074741562e-10,-3.583556524054691e-07,-1.5288411883548412e-10
m4-v1,b08,139,1,np.float64(4.9344739331306915),np.float64(-0.13322434272608064),True,False,False,0.6467725719871874,1.6311013764092053e-06,np.float64(4.94223080421165e-05),1e-06,1.6290137254761902e-06,2.087650933015089e-09,1.6326130431622081e-06,-1.5116667530028404e-09,1.6322391152299838e-06,-1.1377388207784952e-09,1.6322840470082112e-06,-1.1826705990059363e-09,1.632299600454874e-06,-1.1982240456686289e-09
m4-v1,b09,2,1,np.float64(0.6931471805599453),np.float64(-0.1560129290391036),True,True,True,1.3094718497626123,3.303146645095012e-10,np.float64(5.1722725033975325e-05),1e-06,-2.2439087135151477e-12,3.3255857322301633e-10,-1.51337594809614e-11,3.454484239904626e-10,-8.25348419621219e-12,3.3856814870571337e-10,-1.2868637409693195e-12,3.316015282504705e-10,-6.449473437577811e-13,3.3095961185325896e-10
m4-v1,b09,3,1,np.float64(1.0986122886681098),np.float64(-0.20189889986939866),True,True,True,1.6213164575166144,3.5333980186180725e-10,np.float64(7.539994769937345e-05),1e-06,1.8155882930951587e-12,3.5152421356871207e-10,5.359944658570077e-12,3.479798572032372e-10,-2.415613168420563e-12,3.5575541503022783e-10,-3.1564238204942448e-12,3.564962256823015e-10,-5.286541935610292e-12,3.586263437974175e-10
m4-v1,b09,2,2,np.float64(1.3862943611198906),np.float64(-0.1103178000763258),True,False,False,0.8903575310858957,-4.3583714415262875e-10,np.float64(3.735227163555794e-05),1e-06,-8.550273812242445e-12,-4.272868703403863e-10,1.8369436256888485e-12,-4.376740877783176e-10,1.9046049021784666e-11,-4.548831931744134e-10,2.087976485809755e-11,-4.567169090107263e-10,2.171397215305885e-11,-4.575511163056876e-10
m4-v1,b09,5,1,np.float64(1.6094379124341003),np.float64(-0.22910752440522542),True,True,True,1.798888890357203,3.461317898967309e-10,np.float64(7.388483083445261e-05),1e-06,-1.4475668833457767e-12,3.475793567800767e-10,2.3746888766589447e-12,3.437571010200719e-10,-3.749392610672796e-12,3.4988118250740366e-10,-1.2293120364435111e-12,3.473611019331744e-10,-4.609008410686563e-12,3.5074079830741746e-10
