versao,bloco,p,r,eligible,total_contaminacao_sup,certificado_contaminacao,extra_rhoDelta_rel_sup,total_densidade_sup,certificado
m4-v1,b05,83,1,False,0.000000418642230,True,0.000000014228215,0.000000432870445,True
m4-v1,b05,89,1,False,0.000000337784739,True,0.000000011250088,0.000000349034827,True
m4-v1,b05,97,1,False,0.000000445153107,True,0.000000014846447,0.000000459999554,True
m4-v1,b06,101,1,False,0.000000452729062,True,0.000000011446444,0.000000464175506,True
m4-v1,b06,103,1,False,0.000000369425209,True,0.000000009055917,0.000000378481126,True
m4-v1,b06,107,1,False,0.000000383073231,True,0.000000009312873,0.000000392386104,True
m4-v1,b06,109,1,False,0.000000470628290,True,0.000000011682561,0.000000482310851,True
m4-v1,b06,11,1,True,0.000000261897585,True,0.000000007033887,0.000000268931472,True
m4-v1,b06,11,2,False,0.000001094326107,False,0.000000025677333,0.000001120003440,False
m4-v1,b06,113,1,False,0.000000403116188,True,0.000000009591441,0.000000412707629,True
m4-v1,b06,127,1,False,0.000000557696798,True,0.000000009658804,0.000000567355602,True
m4-v1,b06,13,1,True,0.000000293189439,True,0.000000007882586,0.000000301072025,True
m4-v1,b06,131,1,False,0.000000584769526,True,0.000000011465046,0.000000596234572,True
m4-v1,b06,137,1,False,0.000001752899487,False,0.000000011367592,0.000001764267079,False
m4-v1,b06,139,1,False,0.000001204399915,False,0.000000011896349,0.000001216296264,False
m4-v1,b06,17,1,True,0.000000246595853,True,0.000000006580584,0.000000253176437,True
m4-v1,b06,19,1,True,0.000000249950665,True,0.000000006664077,0.000000256614742,True
m4-v1,b06,2,1,True,0.000000374091559,True,0.000000010071985,0.000000384163544,True
m4-v1,b06,2,2,False,0.000000588830534,True,0.000000015856237,0.000000604686771,True
m4-v1,b06,2,3,False,0.000000848270589,True,0.000000022873592,0.000000871144181,True
m4-v1,b06,2,4,False,0.000001132341515,False,0.000000030343333,0.000001162684848,False
m4-v1,b06,2,5,False,0.000001380372950,False,0.000000036578354,0.000001416951304,False
m4-v1,b06,2,6,False,0.000001996078227,False,0.000000052201577,0.000002048279804,False
m4-v1,b06,2,7,False,0.000004413885648,False,0.000000087796203,0.000004501681851,False
m4-v1,b06,23,1,True,0.000000317201454,True,0.000000008488675,0.000000325690129,True
m4-v1,b06,29,1,True,0.000000286702297,True,0.000000007627650,0.000000294329947,True
m4-v1,b06,3,1,True,0.000000328477023,True,0.000000008853787,0.000000337330810,True
m4-v1,b06,3,2,False,0.000000439482392,True,0.000000011758863,0.000000451241255,True
m4-v1,b06,3,3,False,0.000000983613736,True,0.000000026359943,0.000001009973679,False
m4-v1,b06,3,4,False,0.000001476461729,False,0.000000037750133,0.000001514211862,False
m4-v1,b06,31,1,True,0.000000307779140,True,0.000000008189290,0.000000315968430,True
m4-v1,b06,37,1,True,0.000000279884654,True,0.000000007401249,0.000000287285903,True
m4-v1,b06,41,1,True,0.000000288572014,True,0.000000007614530,0.000000296186544,True
m4-v1,b06,43,1,True,0.000000330305976,True,0.000000008746694,0.000000339052670,True
m4-v1,b06,47,1,True,0.000000355611404,True,0.000000009420054,0.000000365031458,True
m4-v1,b06,5,1,True,0.000000289253823,True,0.000000007786475,0.000000297040298,True
m4-v1,b06,5,2,False,0.000000529060672,True,0.000000014101541,0.000000543162213,True
m4-v1,b06,5,3,False,0.000001709977330,False,0.000000038083625,0.000001748060955,False
m4-v1,b06,53,1,True,0.000000340859168,True,0.000000008977317,0.000000349836485,True
m4-v1,b06,59,1,False,0.000000386272046,True,0.000000010187566,0.000000396459612,True
m4-v1,b06,61,1,False,0.000000397203691,True,0.000000010443525,0.000000407647216,True
m4-v1,b06,67,1,False,0.000000414281468,True,0.000000010942637,0.000000425224105,True
m4-v1,b06,7,1,True,0.000000276184554,True,0.000000007426817,0.000000283611371,True
m4-v1,b06,7,2,False,0.000000728495016,True,0.000000019266460,0.000000747761476,True
m4-v1,b06,71,1,False,0.000000346304373,True,0.000000009034114,0.000000355338487,True
m4-v1,b06,73,1,False,0.000000398034591,True,0.000000010359865,0.000000408394456,True
m4-v1,b06,79,1,False,0.000000431099118,True,0.000000011211069,0.000000442310187,True
m4-v1,b06,83,1,False,0.000000445321601,True,0.000000011543438,0.000000456865039,True
m4-v1,b06,89,1,False,0.000000455067043,True,0.000000011743282,0.000000466810325,True
m4-v1,b06,97,1,False,0.000000455182707,True,0.000000011409488,0.000000466592195,True
m4-v1,b07,101,1,False,0.000000502713807,True,0.000000009890414,0.000000512604221,True
m4-v1,b07,103,1,False,0.000000500055388,True,0.000000009854815,0.000000509910203,True
m4-v1,b07,107,1,False,0.000000471309425,True,0.000000008969304,0.000000480278729,True
m4-v1,b07,109,1,False,0.000000402516903,True,0.000000007596867,0.000000410113770,True
m4-v1,b07,11,1,True,0.000000232667880,True,0.000000004884937,0.000000237552817,True
m4-v1,b07,11,2,False,0.000000967079141,True,0.000000017340228,0.000000984419369,True
m4-v1,b07,113,1,False,0.000000476615045,True,0.000000008836048,0.000000485451093,True
m4-v1,b07,127,1,False,0.000000640175093,True,0.000000008845806,0.000000649020899,True
m4-v1,b07,13,1,True,0.000000302230317,True,0.000000006378506,0.000000308608823,True
m4-v1,b07,131,1,False,0.000000800089966,True,0.000000009388369,0.000000809478335,True
m4-v1,b07,137,1,False,0.000001005559515,False,0.000000010185662,0.000001015745177,False
m4-v1,b07,139,1,False,0.000001590960189,False,0.000000010810686,0.000001601770875,False
m4-v1,b07,17,1,True,0.000000253825038,True,0.000000005332806,0.000000259157844,True
m4-v1,b07,19,1,True,0.000000289789671,True,0.000000006079247,0.000000295868918,True
m4-v1,b07,2,1,True,0.000000342483366,True,0.000000007219511,0.000000349702877,True
m4-v1,b07,2,2,False,0.000000517835107,True,0.000000010938110,0.000000528773217,True
m4-v1,b07,2,3,False,0.000000776467056,True,0.000000016371740,0.000000792838796,True
m4-v1,b07,2,4,False,0.000001152702578,False,0.000000024240393,0.000001176942971,False
m4-v1,b07,2,5,False,0.000001700168482,False,0.000000035542768,0.000001735711250,False
m4-v1,b07,2,6,False,0.000002497062801,False,0.000000051625377,0.000002548688178,False
m4-v1,b07,2,7,False,0.000005359401075,False,0.000000075716819,0.000005435117894,False
m4-v1,b07,23,1,True,0.000000261011815,True,0.000000005444349,0.000000266456164,True
m4-v1,b07,29,1,True,0.000000351210295,True,0.000000007356971,0.000000358567266,True
m4-v1,b07,3,1,True,0.000000320511214,True,0.000000006778320,0.000000327289534,True
m4-v1,b07,3,2,False,0.000000595421434,True,0.000000012561795,0.000000607983229,True
m4-v1,b07,3,3,False,0.000000926938534,True,0.000000019428267,0.000000946366801,True
m4-v1,b07,3,4,False,0.000001458245625,False,0.000000029295643,0.000001487541268,False
m4-v1,b07,31,1,True,0.000000304619276,True,0.000000006367588,0.000000310986864,True
m4-v1,b07,37,1,True,0.000000284783786,True,0.000000005910007,0.000000290693793,True
m4-v1,b07,41,1,True,0.000000339856704,True,0.000000007080976,0.000000346937680,True
m4-v1,b07,43,1,True,0.000000382421732,True,0.000000007977888,0.000000390399620,True
