versao,bloco,p,r,eligible,d1,Delta,U1,U2,n_termos,abs_c,theta,err_num_est,S_abs,theta_rel,margem,margem_rel,B_rel_sup,orcamento_rel,orcamento_rel_com_err
m4-v1,b01,3,2,False,1,1,6.0,7.0,111,0.1165663841886866,-1.2266531215516349e-12,7.567734217056191e-21,7.567727749168754e-12,-1.0523214991090786e-11,1.1656515753556505e-07,9.999894767850089e-07,0.001088747626,0.001088747636523215,0.0010887476365232151
m4-v1,b01,11,1,True,1,1,6.0,7.0,111,0.23013570108523157,2.96492435411246e-13,8.815589147645062e-21,8.815581770633619e-12,1.2883374201095334e-12,2.3013540459279617e-07,9.9999871166258e-07,0.000495001452,0.0004950014532883374,0.0004950014532883375
m4-v1,b01,13,1,True,1,1,6.0,7.0,111,0.22644213759952758,-3.7049274807497375e-13,8.569730690735525e-21,8.569723767245922e-12,-1.6361475474595886e-12,2.264417671067795e-07,9.999983638524525e-07,0.000689509319,0.0006895093206361476,0.0006895093206361476
m4-v1,b01,2,4,False,1,1,6.0,7.0,111,0.0551589000381629,1.2691284986297705e-12,8.668208255650548e-21,8.668201043198449e-12,2.300858968818624e-11,5.515763090966427e-08,9.999769914103117e-07,0.002311082059,0.00231108208200859,0.00231108208200859
m4-v1,b01,17,1,True,1,1,6.0,7.0,111,0.21872828371837585,-1.1986114146665737e-12,1.1179399535077028e-20,1.11793901015861e-11,-5.479910482038294e-12,2.1872708510696116e-07,9.999945200895178e-07,0.000652084419,0.0006520844244799105,0.0006520844244799106
m4-v1,b01,19,1,True,1,1,6.0,7.0,111,0.21501852841127717,8.932400959082472e-13,1.13464578027408e-20,1.1346448957799124e-11,4.154247089812187e-12,2.1501763517118123e-07,9.999958457529102e-07,0.000728107005,0.000728107009154247,0.0007281070091542471
m4-v1,b01,23,1,True,1,1,6.0,7.0,111,0.20810964733659634,-9.422286632598758e-13,1.408368296922372e-20,1.4083671465083665e-11,-4.5275587908518056e-12,2.0810870510793306e-07,9.999954724412091e-07,0.000666650346,0.0006666503505275588,0.0006666503505275589
m4-v1,b01,5,2,False,1,1,6.0,7.0,111,0.10245999974535523,-1.4140176981304599e-12,1.422203033745136e-20,1.4222018947258518e-11,-1.3800680281521871e-11,1.0245858572765711e-07,9.999861993197185e-07,0.001523568859,0.0015235688728006801,0.0015235688728006804
m4-v1,b01,3,3,False,1,1,6.0,7.0,111,0.06729963328979954,-5.914729022892534e-13,1.311845458562537e-20,1.3118442066368584e-11,-8.78864970544946e-12,6.729904181689725e-08,9.999912113502944e-07,0.001987169061,0.0019871690697886497,0.00198716906978865
m4-v1,b01,29,1,True,1,1,6.0,7.0,111,0.1990363509339811,2.2105434795089954e-12,1.7971387327638215e-20,1.797137387780706e-11,1.1106229938079083e-11,1.9903414039050158e-07,9.999888937700618e-07,0.000671755724,0.00067175573510623,0.00067175573510623
m4-v1,b01,31,1,True,1,1,6.0,7.0,111,0.1963215403858554,1.983271088006817e-12,1.7633107235063663e-20,1.763309177895543e-11,1.010215732878239e-11,1.9631955711476736e-07,9.999898978426712e-07,0.000740291329,0.0007402913391021573,0.0007402913391021574
m4-v1,b01,2,5,False,1,1,6.0,7.0,111,0.0390032322597759,-5.915056430053281e-13,2.0253453823668752e-20,2.025343831288035e-11,-1.5165554461375984e-11,3.9002640754132894e-08,9.999848344455385e-07,0.003361357936,0.0033613579511655545,0.003361357951165555
m4-v1,b01,37,1,True,1,1,6.0,7.0,111,0.1889586950119591,3.607836717026795e-12,2.1630611392190455e-20,2.163059471705182e-11,1.9093255892767764e-11,1.8895508717524208e-07,9.999809067441072e-07,0.000800795978,0.0008007959970932558,0.000800795997093256
m4-v1,b01,41,1,True,1,1,6.0,7.0,111,0.184607803637099,-4.156430087065068e-12,2.430273370628804e-20,2.4302713450881678e-11,-2.251492084936862e-11,1.8460364720701193e-07,9.999774850791505e-07,0.000774781922,0.0007747819445149208,0.000774781944514921
m4-v1,b01,43,1,True,1,1,6.0,7.0,111,0.18257543342631882,-2.9730195605869364e-12,2.4915063996827908e-20,2.491504361646052e-11,-1.6283787499739086e-11,1.8257246040675822e-07,9.999837162125002e-07,0.000652856718,0.0006528567342837875,0.0006528567342837877
m4-v1,b01,47,1,True,1,1,6.0,7.0,111,0.17876338822837304,3.164668370427499e-12,2.8960303875469236e-20,2.896028108942371e-11,1.7703112487354432e-11,1.787602235600026e-07,9.999822968875125e-07,0.000850308405,0.0008503084227031126,0.0008503084227031127
m4-v1,b01,7,2,False,1,1,6.0,7.0,111,0.08848606258138285,-4.3904219388138017e-13,2.3617491271994915e-20,2.3617467718532743e-11,-4.961710139125945e-12,8.848562353918897e-08,9.999950382898608e-07,0.001518106076,0.0015181060809617102,0.0015181060809617106
m4-v1,b01,53,1,True,1,1,6.0,7.0,111,0.1735939685443537,5.229585939703072e-12,3.425608850245033e-20,3.425606280363188e-11,3.0125389629345904e-11,1.7358873895841398e-07,9.999698746103706e-07,0.000896917521,0.0008969175511253896,0.0008969175511253898
m4-v1,b01,59,1,False,1,1,6.0,7.0,111,0.16897485378921837,-3.090037453708278e-12,3.812418335709937e-20,3.812415563696383e-11,-1.8286966281757135e-11,1.6897176375176464e-07,9.999817130337183e-07,0.000695517072,0.0006955170902869663,0.0006955170902869666
m4-v1,b01,61,1,False,1,1,6.0,7.0,111,0.16754032791775322,1.3532735395309226e-12,3.8204811622864194e-20,3.820478121259283e-11,8.077300291517004e-12,1.6753897464421367e-07,9.999919226997084e-07,0.000929791552,0.0009297915600773003,0.0009297915600773005
m4-v1,b01,2,6,False,1,1,6.0,7.0,111,0.02757945001908145,-2.4062727679634237e-12,3.219601564903973e-20,3.219598769259107e-11,-8.724875827105294e-11,2.7577043746313484e-08,9.99912751241729e-07,0.004876632331,0.004876632418248758,0.004876632418248759
m4-v1,b01,67,1,False,1,1,6.0,7.0,111,0.16351100147025147,-6.310872229522842e-12,4.5219932023606955e-20,4.5219898595505514e-11,-3.859600988787911e-11,1.6350469059802193e-07,9.99961403990112e-07,0.000925379613,0.0009253796515960098,0.0009253796515960102
m4-v1,b01,71,1,False,1,1,6.0,7.0,111,0.16102884271275783,3.2252088178647165e-12,4.267631823015309e-20,4.2676281650423864e-11,2.002876480717074e-11,1.6102561750393996e-07,9.999799712351927e-07,0.000832773783,0.0008327738030287648,0.0008327738030287651
m4-v1,b01,73,1,False,1,1,6.0,7.0,111,0.1598425863444375,-4.3158095438618405e-12,4.7053405614406124e-20,4.7053370092132173e-11,-2.7000373571045075e-11,1.598382705348936e-07,9.999729996264289e-07,0.000854898134,0.0008548981610003736,0.0008548981610003738
m4-v1,b01,79,1,False,1,1,6.0,7.0,111,0.15648155106679665,-6.064699902969466e-12,5.588171170146511e-20,5.58816725829543e-11,-3.8756644867232e-11,1.5647548636689366e-07,9.999612433551328e-07,0.000793333686,0.0007933337247566449,0.0007933337247566452
