versao,bloco,p,r,eligible,d1,Delta,a_l1,abs_c,zeros_rel_sup,polos_rel_sup,arq_rel_sup,B_rel_sup,B_rel_sup_str
m4-v1,b01,5,2,False,4,0.5,0.0027260452086134658,0.10245999974535523,1.9364814e-05,7.5e-11,3.8e-11,1.9364924e-05,0.000019364924
m4-v1,b01,5,2,False,4,1,0.0027260452086134658,0.10245999974535523,1.364162e-05,7.2e-11,3.8e-11,1.3641727e-05,0.000013641727
m4-v1,b01,5,2,False,4,2,0.0027260452086134658,0.10245999974535523,9.617928e-06,7.1e-11,3.8e-11,9.618033e-06,0.000009618033
m4-v1,b01,5,2,False,8,0.5,0.0027260452086134658,0.10245999974535523,2.058774e-06,4.3e-11,3e-12,2.058816e-06,0.000002058816
m4-v1,b01,5,2,False,8,1,0.0027260452086134658,0.10245999974535523,1.343375e-06,4.6e-11,3e-12,1.34342e-06,0.000001343420
m4-v1,b01,5,2,False,8,2,0.0027260452086134658,0.10245999974535523,9.85675e-07,5.5e-11,3e-12,9.85729e-07,0.000000985729
m4-v1,b01,3,3,False,1,0.5,0.002335415353410395,0.06729963328979954,0.003091791714,3.711e-09,3.427e-09,0.003091798849,0.003091798849
m4-v1,b01,3,3,False,1,1,0.002335415353410395,0.06729963328979954,0.001987162058,3.579e-09,3.427e-09,0.001987169061,0.001987169061
m4-v1,b01,3,3,False,1,2,0.002335415353410395,0.06729963328979954,0.001608179255,3.501e-09,3.427e-09,0.00160818618,0.001608186180
m4-v1,b01,3,3,False,2,0.5,0.002335415353410395,0.06729963328979954,0.000274377952,6.23e-10,5.21e-10,0.000274379092,0.000274379092
m4-v1,b01,3,3,False,2,1,0.002335415353410395,0.06729963328979954,0.000190409237,5.96e-10,5.21e-10,0.000190410351,0.000190410351
m4-v1,b01,3,3,False,2,2,0.002335415353410395,0.06729963328979954,0.000121369884,5.73e-10,5.21e-10,0.000121370974,0.000121370974
m4-v1,b01,3,3,False,4,0.5,0.002335415353410395,0.06729963328979954,2.525725e-05,9.7e-11,4.9e-11,2.5257393e-05,0.000025257393
m4-v1,b01,3,3,False,4,1,0.002335415353410395,0.06729963328979954,1.7792569e-05,9.4e-11,4.9e-11,1.7792709e-05,0.000017792709
m4-v1,b01,3,3,False,4,2,0.002335415353410395,0.06729963328979954,1.2544525e-05,9.2e-11,4.9e-11,1.2544663e-05,0.000012544663
m4-v1,b01,3,3,False,8,0.5,0.002335415353410395,0.06729963328979954,2.685229e-06,5.5e-11,3e-12,2.685284e-06,0.000002685284
