block,prime,repetition,period,C_real,C_imag,theory,ratio_error,difference_from_saved,same_sampling_C_real,same_sampling_C_imag,same_sampling_difference_from_saved
full,23,1,3.1354942159291497,-0.20810964736734613,6.333181251626319e-12,-0.20810964733659634,1.4775758394591776e-10,6.4006488339566615e-12,-0.20810964737373744,6.7055831142087835e-12,2.003692291086529e-15
full,5,2,3.2188758248682006,-0.10245999979950923,3.270320782496602e-11,-0.10245999974535523,5.285378801289653e-10,2.676620031392844e-12,-0.10245999979684231,3.24576278655283e-11,1.9267058212787645e-15
full,3,3,3.295836866004329,-0.06729963335988991,-2.216310615900319e-11,-0.06729963328979954,1.0414673567993304e-09,3.2865911461358627e-11,-0.06729963338728213,-4.0326611121242466e-11,1.6131410620722948e-15
full,29,1,3.367295829986474,-0.19903635095349773,1.336287544392193e-11,-0.1990363509339811,9.80555636687086e-11,6.4353152581262144e-12,-0.19903635094778208,1.0410442093443798e-11,5.9657608299173826e-15
full,31,1,3.4339872044851463,-0.19632154036614136,-3.189664539646679e-11,-0.1963215403858554,-1.0041711906438877e-10,1.6468859375167718e-11,-0.19632154037355293,-1.7194581622602913e-11,4.506099020550004e-15
full,2,5,3.4657359027997265,-0.03900323229359415,-4.356164575322499e-12,-0.0390032322597759,8.670626439055695e-10,1.8900286675202416e-11,-0.039003232311938585,1.91864472843696e-13,5.553276208705338e-15
full,37,1,3.6109179126442243,-0.18895869504150378,3.769298171264934e-11,-0.1889586950119591,1.5635515104861497e-10,3.587936559107163e-11,-0.18895869502906448,7.134584640077176e-11,6.293327279960414e-15
full,41,1,3.713572066704308,-0.18460780367346286,-8.346203223996197e-11,-0.184607803637099,1.9697887765346422e-10,3.852850728320651e-11,-0.18460780366141724,-1.2005481150523277e-10,6.135850543366625e-15
full,43,1,3.7612001156935624,-0.1825754334217226,7.768333769260678e-12,-0.18257543342631882,-2.5174307083375425e-11,1.708446930199377e-11,-0.18257543341473403,-7.825774083078939e-12,5.8503004758802295e-15
full,47,1,3.8501476017100584,-0.1787633882777604,9.214247064733045e-11,-0.17876338822837304,2.7627211629521753e-10,1.6010889679831994e-11,-0.1787633882771912,1.081424396008251e-10,4.0518522541665544e-15
full,7,2,3.8918202981106265,-0.08848606248526923,-4.8526131466642335e-12,-0.08848606258138285,-1.0862006849521322e-09,3.0356122780905495e-11,-0.0884860625154859,-7.772828869999233e-12,1.3614175872233753e-15
full,53,1,3.970291913552122,-0.1735939685168396,-6.371401397858552e-11,-0.1735939685443537,-1.5849688228541936e-10,3.2907910323286095e-11,-0.1735939685041328,-3.336015277510134e-11,4.974285350616108e-15
full,59,1,4.07753744390572,-0.16897485385263117,2.1642524558189554e-11,-0.16897485378921837,3.7527958518523974e-10,1.5618713099942437e-11,-0.16897485385954494,7.641444170329694e-12,4.315598749110287e-15
full,61,1,4.110873864173311,-0.16754032794831675,-3.6771285448413703e-11,-0.16754032791775322,1.8242496402365305e-10,4.500508737125165e-11,-0.1675403279163075,-5.13441937579458e-12,1.6685751927180635e-15
full,2,6,4.1588830833596715,-0.027579450070013833,5.102777921482037e-11,-0.02757945001908145,1.8467511964104233e-09,7.230289612430501e-11,-0.027579450054013768,-1.9476395208549703e-11,8.900416057209696e-15
full,67,1,4.204692619390966,-0.16351100149431513,1.4222812850296088e-10,-0.16351100147025147,1.4716849960905165e-10,5.516612959789151e-11,-0.16351100149777037,8.719715821086826e-11,6.633540086216556e-14
full,71,1,4.2626798770413155,-0.16102884265558717,6.660522463884685e-11,-0.16102884271275783,-3.5503366913047785e-10,9.359784604648012e-11,-0.16102884273423068,1.5856879774585343e-11,5.24811268318749e-15
full,73,1,4.290459441148391,-0.15984258650484542,1.7726716243139082e-11,-0.1598425863444375,1.0035370312522218e-09,5.4043232328714143e-11,-0.15984258650442668,-3.6316081815898124e-11,4.001642734073566e-15
full,79,1,4.3694478524670215,-0.15648155109152342,1.0872799073158918e-10,-0.15648155106679665,1.5801715491647883e-10,5.254197788912446e-11,-0.15648155113951845,8.734765453893741e-11,8.43932514597047e-15
full,3,4,4.394449154672439,-0.038855461316868324,-6.627463850085045e-11,-0.03885546139622887,-2.0424554270093154e-09,1.328802052851225e-10,-0.03885546141116257,2.7350653961239645e-11,2.4320263713872128e-15
full,83,1,4.418840607796598,-0.15439008902548257,-5.504099253938061e-11,-0.15439008898017337,2.934721354819203e-10,1.4704557449924586e-10,-0.15439008893674028,6.221104610578383e-11,4.915417110830025e-15
