n,unfolded_x,spacing_s
752,751.30323241,1.56470374
753,752.86793614,0.63789370
754,753.50582984,1.07306897
755,754.57889881,0.54754455
756,755.12644336,0.91201106
757,756.03845442,1.82996400
758,757.86841842,0.97334618
759,758.84176460,0.55956994
760,759.40133455,1.13088230
761,760.53221685,1.01133556
762,761.54355241,0.69576475
763,762.23931716,1.43156430
764,763.67088146,0.44637652
765,764.11725798,1.32290269
766,765.44016067,1.59331716
767,767.03347783,0.58243416
768,767.61591199,0.90439527
769,768.52030726,0.76654315
770,769.28685041,0.92294849
771,770.20979890,1.13357013
772,771.34336903,1.31038727
773,772.65375630,1.14490332
774,773.79865961,0.78578803
775,774.58444764,0.66977371
776,775.25422135,1.59680866
777,776.85103001,0.67300859
778,777.52403860,0.47263076
779,777.99666936,1.22812030
780,779.22478966,1.59137737
781,780.81616703,0.90628915
782,781.72245618,1.00835059
783,782.73080677,0.86147623
784,783.59228300,0.44356435
785,784.03584735,1.39034404
786,785.42619139,0.95017251
787,786.37636389,1.34082507
788,787.71718896,0.63663410
789,788.35382306,1.37875905
790,789.73258211,0.98622441
791,790.71880652,0.77169693
792,791.49050344,0.81811069
793,792.30861414,1.18027136
794,793.48888550,0.39427885
795,793.88316434,2.16162766
796,796.04479200,0.79353282
797,796.83832481,0.51149998
798,797.34982479,1.09601004
799,798.44583483,0.94245967
800,799.38829450,1.20328106
801,800.59157556,0.60006241
802,801.19163797,1.22600322
803,802.41764119,1.26090479
804,803.67854598,0.92395497
805,804.60250095,1.26785094
806,805.87035189,0.61443879
807,806.48479068,0.92296416
808,807.40775484,0.44542642
809,807.85318126,1.81852575
810,809.67170700,0.86646362
811,810.53817062,1.34936390
812,811.88753452,0.55992880
813,812.44746332,0.98317475
814,813.43063807,1.06819737
815,814.49883544,1.10970561
816,815.60854105,0.60043202
817,816.20897307,0.94544817
818,817.15442124,1.57718178
819,818.73160302,1.33988790
820,820.07149092,0.43362112
821,820.50511205,0.76059936
822,821.26571141,1.27112474
823,822.53683614,0.58374513
824,823.12058128,1.24403410
825,824.36461537,1.50104815
826,825.86566352,0.66515495
827,826.53081847,0.83036670
828,827.36118518,1.57226582
829,828.93345100,0.47326138
830,829.40671237,1.00786032
831,830.41457270,0.73461981
832,831.14919250,1.05714983
833,832.20634233,1.73337555
834,833.93971788,0.70219432
835,834.64191221,1.15568565
836,835.79759785,0.57534119
837,836.37293905,0.73552705
838,837.10846609,1.50446448
839,838.61293057,0.82122614
840,839.43415671,0.81264754
841,840.24680425,1.46900816
842,841.71581241,1.02935653
843,842.74516894,0.75358223
844,843.49875117,1.32697277
845,844.82572394,0.40357829
846,845.22930223,0.86923652
847,846.09853875,1.11256166
848,847.21110041,1.90539697
849,849.11649738,0.38717489
850,849.50367227,1.10535425
